nama_pintu_air,lokasi,latitude,longitude,tanggal,tinggi_air,status_siaga
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-13 16:40:00",600,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-13 16:40:00",520,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-13 16:40:00",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-01-13 16:40:00",3340,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-13 16:30:00",280,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-01-13 10:01:05",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-13 16:40:00",1850,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-13 16:40:00",2100,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-13 16:40:00",1740,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-13 16:40:00",1670,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-01-13 16:40:00",1430,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-09 19:20:00",810,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-13 17:10:00",170,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-13 17:10:00",750,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-13 17:10:00",5930,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-13 17:10:00",130,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-13 17:10:00",-10,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-13 17:10:00",2540,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-13 17:10:00",1580,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-13 17:10:00",1430,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-13 17:10:00",-1890,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-13 17:10:00",600,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-13 17:10:00",520,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-13 17:10:00",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-01-13 17:10:00",3340,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-13 17:00:00",220,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-01-13 10:01:05",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-13 17:10:00",1850,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-13 17:10:00",2070,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-13 17:10:00",1740,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-13 17:10:00",1600,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-01-13 17:10:00",1420,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-09 19:20:00",810,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-13 17:10:00",170,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-13 17:20:00",750,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-13 17:20:00",5900,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-13 17:20:00",140,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-13 17:20:00",-10,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-13 17:20:00",2540,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-13 17:20:00",1560,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-13 17:20:00",1490,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-13 17:20:00",-1900,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-13 17:20:00",600,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-13 17:20:00",520,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-13 17:20:00",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-01-13 17:20:00",3340,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-13 17:10:00",200,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-01-13 10:01:05",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-13 17:20:00",1840,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-13 17:20:00",2050,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-13 17:20:00",1760,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-13 17:10:00",1600,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-01-13 17:20:00",1420,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-09 19:20:00",810,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-13 18:10:00",170,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-13 18:10:00",750,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-13 18:10:00",5880,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-13 18:10:00",130,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-13 18:10:00",-10,"Status : Normal"
"P.A. Karet","Banjir Kanal Barat",-6.197901,106.810075,"2020-01-13 18:10:00",2480,"Status : Normal"
"P.A. Marina Ancol ",Laut,-6.125585,106.830154,"2020-01-13 18:10:00",1460,"Status : Normal"
"Pompa Pasar Ikan",Laut,-6.126132,106.809783,"2020-01-13 18:10:00",1390,"Status : Normal"
"P.A. Pluit","Waduk Pluit",-6.109642,106.796954,"2020-01-13 18:10:00",-1930,"Status : Normal"
"PS. Pesanggrahan",Pesanggrahan,-6.397111000,106.771825000,"2020-01-13 18:10:00",600,"Status : Normal"
"PS. Angke Hulu",Angke,-6.220047,106.694137,"2020-01-13 18:10:00",510,"Status : Normal"
"PS. Sunter Hulu",Sunter,-6.317920000,106.920901000,"2020-01-13 18:10:00",600,"Status : Normal"
"PA. Pulo Gadung",Sunter,-6.191,106.904194,"2020-01-13 18:10:00",3340,"Status : Normal"
"Pompa Yos Sudarso 1","Sunter Timur",-6.155547,106.885975,"2020-01-13 18:00:00",90,"Status : Normal"
"PS. Cipinang Hulu","Cipinang Hulu",-6.374264,106.883862,"2020-01-13 10:01:05",800,"Status : Normal"
"Pompa Kali Duri (Kalijodo)","Kali Duri",-6.142320,106.790390,"2020-01-13 18:10:00",1820,"Status : Normal"
"P.A. Istiqlal  ",Ciliwung,-6.168254,106.831350,"2020-01-13 18:10:00",2020,"Status : Normal"
"P.A. Jembatan Merah",Ciliwung,-6.149068,106.834214,"2020-01-13 18:10:00",1730,"Status : Siaga 2"
"P.A. Ancol Flusing",Ciliwung,-6.129859,106.831254,"2020-01-13 18:10:00",1470,"Status : Normal"
"P.A. Hek","Kali Baru Timur",-6.287305,106.870630,"2020-01-13 18:10:00",1420,"Status : Siaga 3"
"PA. Cibalok - Gadog",Ciliwung,-6.653417,106.869551,"2020-01-09 19:20:00",810,"Status : Normal"
"PS. Katulampa (Hulu)",Ciliwung,-6.633167,106.836806,"2020-01-13 18:40:00",170,"Status : Normal"
"PS. Depok",Ciliwung,-6.400514000,106.832143000,"2020-01-13 18:40:00",750,"Status : Normal"
"PA. Manggarai",Ciliwung,-6.207825,106.848458,"2020-01-13 18:40:00",5880,"Status : Normal"
"PS. Krukut Hulu",Krukut,-6.343900,106.798874,"2020-01-13 18:40:00",140,"Status : Normal"
"Pompa Cideng",Krukut,-6.173271,106.806351,"2020-01-13 18:40:00",-10,"Status : Normal"
