,lat,lon,depth,mag,remark,klasifikasi
44148,-8.63,116.55,10,3.1,43,gempa minor
44149,-8.35,116.72,11,2.6,43,gempa micro
44150,-8.38,116.62,10,2.9,43,gempa micro
44151,-9.8,108.27,10,4.1,35,gempa ringan
44152,-9.08,116.6,35,3.2,43,gempa minor
44153,-4.92,102.99,20,3.9,38,semoga bisa
44154,-1.72,98.83,32,3.8,38,gempa minor
44155,-8.39,116.66,13,2.8,43,gempa micro
44156,-8.34,116.92,10,2.6,43,gempa micro
44157,-8.28,116.07,16,3.2,43,gempa minor
44158,-8.44,116.88,14,3.0,43,gempa minor
44159,-8.34,116.72,10,3.3,43,gempa minor
44160,-8.39,116.61,15,2.6,43,gempa micro
44161,-8.4,116.79,18,2.9,43,gempa micro
44162,-3.77,129.24,89,4.0,31,gempa ringan
44163,-3.77,129.24,89,4.0,31,gempa ringan
44164,-8.32,116.85,10,2.8,43,gempa micro
44165,-8.37,116.55,10,3.2,43,gempa minor
44166,-8.28,116.64,10,3.8,43,gempa minor
44167,-8.37,116.79,16,3.3,43,gempa minor
44168,-8.53,116.85,11,2.9,43,gempa micro
44169,-8.85,116.53,33,2.8,43,gempa micro
44170,-8.28,116.15,12,3.3,43,gempa minor
44171,-8.84,115.52,83,4.1,2,gempa ringan
44172,-8.47,116.56,10,2.7,43,gempa micro
44173,-8.41,116.58,10,2.9,43,gempa micro
44174,-8.51,116.56,18,3.2,43,gempa minor
44175,-8.37,116.71,10,2.6,43,gempa micro
44176,-8.24,116.74,10,4.7,43,gempa ringan
44177,-8.45,115.98,10,3.1,2,gempa minor
44178,-8.16,116.36,14,3.5,43,gempa minor
44179,-8.6,116.83,31,3.2,43,gempa minor
44180,-8.29,116.98,10,3.7,43,gempa minor
44181,-8.87,116.8,10,3.1,43,gempa minor
44182,-0.26,123.85,88,3.7,18,gempa minor
44183,-8.97,116.77,22,2.1,43,gempa micro
44184,-8.96,116.57,11,2.6,43,gempa micro
44185,-8.59,116.1,10,2.5,43,gempa micro
44186,-8.34,117.15,10,3.7,43,gempa minor
44187,-8.28,116.78,10,3.1,43,gempa minor
44188,-8.4,116.92,10,3.1,43,gempa minor
44189,-8.94,116.63,21,2.7,43,gempa micro
44190,-8.41,116.91,10,2.6,43,gempa micro
44191,-8.34,116.66,10,2.8,43,gempa micro
44192,-8.38,116.73,10,2.7,43,gempa micro
44193,-8.46,116.76,21,2.4,43,gempa micro
44194,-8.44,116.94,13,3.4,43,gempa minor
44195,-0.07,121.87,234,2.5,18,gempa micro
44196,-8.34,116.79,10,3.9,43,semoga bisa
44197,-8.63,116.3,13,2.4,43,gempa micro
44198,-8.86,116.49,24,3.0,43,gempa minor
44199,-8.4,116.91,16,3.6,43,gempa minor
44200,0.8,120.44,10,2.6,18,gempa micro
44201,1.24,118.11,10,3.0,5,gempa minor
44202,-8.84,116.74,30,3.1,43,gempa minor
44203,2.83,97.09,32,3.2,27,gempa minor
44204,3.5,126.15,80,4.7,45,gempa ringan
44205,-9.01,116.61,35,2.8,43,gempa micro
44206,-7.7,105.93,28,3.8,15,gempa minor
44207,-8.38,117.0,10,3.8,43,gempa minor
44208,3.73,127.98,140,4.7,45,gempa ringan
44209,-8.46,116.56,10,3.2,43,gempa minor
44210,1.77,126.34,10,4.5,26,gempa ringan
44211,-8.43,116.91,10,3.6,43,gempa minor
44212,-8.06,115.91,10,2.4,2,gempa micro
44213,-8.95,116.83,36,2.9,43,gempa micro
44214,-8.29,116.75,10,3.3,43,gempa minor
44215,-8.44,116.89,10,4.0,43,gempa ringan
44216,-8.33,116.7,10,3.3,43,gempa minor
44217,-8.54,116.4,19,3.0,43,gempa minor
44218,-8.32,116.69,10,3.1,43,gempa minor
44219,-8.65,116.47,10,2.5,43,gempa micro
44220,-8.39,116.84,10,3.0,43,gempa minor
44221,-8.41,116.9,10,4.2,43,gempa ringan
44222,-8.38,116.9,10,4.3,43,gempa ringan
44223,-8.67,116.8,30,3.2,43,gempa minor
44224,-8.25,116.82,10,3.3,43,gempa minor
44225,-8.4,116.87,10,3.9,43,semoga bisa
44226,-8.28,117.01,10,3.2,43,gempa minor
44227,-8.34,116.8,10,3.4,43,gempa minor
44228,-8.78,116.2,12,2.6,43,gempa micro
44229,-7.71,105.8,10,4.2,15,gempa ringan
44230,-8.94,116.84,32,3.1,43,gempa minor
44231,-9.01,116.77,25,3.3,43,gempa minor
44232,-8.82,116.8,34,2.3,43,gempa micro
44233,-8.34,116.78,14,3.6,43,gempa minor
44234,-8.4,116.94,10,3.5,43,gempa minor
44235,-8.52,116.81,20,3.4,43,gempa minor
44236,-9.0,116.56,24,3.2,43,gempa minor
44237,-8.3,116.78,10,3.8,43,gempa minor
44238,-2.25,121.27,10,3.9,40,semoga bisa
44239,-8.35,116.99,10,3.8,43,gempa minor
44240,-8.44,116.93,10,4.9,43,semoga bisa
44241,-8.44,116.93,10,4.9,43,semoga bisa
44242,-5.57,130.02,10,4.3,4,gempa ringan
44243,1.51,98.88,70,3.8,27,gempa minor
44244,0.29,121.97,122,4.0,18,gempa ringan
44245,-8.32,116.86,10,3.8,43,gempa minor
44246,-8.37,116.72,10,2.8,43,gempa micro
44247,-9.6,114.77,53,5.1,34,gempa sedang
44248,-9.6,114.77,53,5.1,34,gempa sedang
44249,-8.53,116.71,10,2.9,43,gempa micro
44250,-3.05,130.6,10,3.4,31,gempa minor
44251,0.73,98.01,10,3.9,27,semoga bisa
44252,-8.41,117.08,10,3.5,43,gempa minor
44253,-8.4,117.07,12,3.5,43,gempa minor
44254,-8.41,116.6,10,2.7,43,gempa micro
44255,-8.33,116.59,16,2.7,43,gempa micro
44256,3.57,126.78,10,4.7,45,gempa ringan
44257,-8.28,116.85,10,4.5,43,gempa ringan
44258,-8.48,116.94,10,2.6,43,gempa micro
44259,5.73,126.81,105,4.6,19,gempa ringan
44260,-8.16,116.84,10,2.7,43,gempa micro
44261,-8.17,116.75,11,3.1,43,gempa minor
44262,-8.15,116.82,10,5.0,43,gempa sedang
44263,-0.85,97.02,15,4.3,39,gempa ringan
44264,-4.81,103.01,126,4.3,38,gempa ringan
44265,-8.25,116.8,10,3.7,43,gempa minor
44266,-8.38,116.7,11,3.0,43,gempa minor
44267,-8.41,116.92,18,3.2,43,gempa minor
44268,0.55,98.32,14,4.1,27,gempa ringan
44269,-2.89,122.64,21,3.5,40,gempa minor
44270,0.35,122.02,135,3.5,18,gempa minor
44271,-8.28,116.78,10,3.6,43,gempa minor
44272,-8.48,116.74,22,2.7,43,gempa micro
44273,-8.24,116.75,17,3.8,43,gempa minor
44274,-8.25,116.3,10,2.8,43,gempa micro
44275,-3.3,139.16,69,4.9,13,semoga bisa
44276,-8.24,116.59,23,3.0,43,gempa minor
44277,0.29,125.36,11,3.8,26,gempa minor
44278,-8.44,116.7,18,3.3,43,gempa minor
44279,-8.22,116.61,16,3.2,43,gempa minor
44280,-8.35,116.82,10,3.3,43,gempa minor
44281,2.25,96.13,15,4.3,27,gempa ringan
44282,-8.43,116.79,10,3.0,43,gempa minor
44283,-8.49,116.9,10,2.9,43,gempa micro
44284,-8.46,116.98,16,3.7,43,gempa minor
44285,-8.43,116.76,10,2.8,43,gempa micro
44286,-8.45,116.93,10,2.8,43,gempa micro
44287,-8.48,116.83,10,2.8,43,gempa micro
44288,-8.56,116.86,24,2.5,43,gempa micro
44289,-8.96,124.38,52,2.8,47,gempa micro
44290,-8.38,116.06,16,2.8,43,gempa micro
44291,-8.34,117.14,12,3.9,43,semoga bisa
44292,-8.34,116.38,10,2.5,43,gempa micro
44293,-8.28,116.88,10,3.7,43,gempa minor
44294,-8.46,116.75,16,3.2,43,gempa minor
44295,-8.43,116.82,10,3.2,43,gempa minor
44296,-8.31,116.89,10,4.4,43,gempa ringan
44297,-8.48,116.83,17,3.2,43,gempa minor
44298,-8.38,116.81,10,2.9,43,gempa micro
44299,-8.65,116.71,26,3.0,43,gempa minor
44300,-8.38,116.68,10,3.1,43,gempa minor
44301,-9.61,112.77,30,4.0,35,gempa ringan
44302,-8.46,116.96,10,3.9,43,semoga bisa
44303,-8.42,116.62,16,2.9,43,gempa micro
44304,-8.37,116.8,12,3.5,43,gempa minor
44305,-8.45,116.95,10,3.6,43,gempa minor
44306,-8.3,116.81,10,3.2,43,gempa minor
44307,-8.5,116.94,16,2.7,43,gempa micro
44308,-8.29,116.79,19,3.0,43,gempa minor
44309,0.5,98.01,28,2.6,27,gempa micro
44310,-8.35,117.0,18,3.0,43,gempa minor
44311,-8.4,116.96,10,3.5,43,gempa minor
44312,-8.44,116.92,10,4.1,43,gempa ringan
44313,-8.31,116.68,15,4.0,43,gempa ringan
44314,-8.44,116.62,10,2.3,43,gempa micro
44315,-8.41,115.93,15,3.6,2,gempa minor
44316,-8.43,116.08,28,3.4,43,gempa minor
44317,-8.44,116.8,10,2.9,43,gempa micro
44318,-8.39,116.83,10,2.8,43,gempa micro
44319,0.42,99.93,10,3.4,27,gempa minor
44320,-7.98,111.73,11,3.0,15,gempa minor
44321,-8.25,116.36,18,3.3,43,gempa minor
44322,-8.22,116.14,10,3.8,43,gempa minor
44323,-1.3,120.51,10,3.6,40,gempa minor
44324,-8.16,116.92,10,3.4,43,gempa minor
44325,-0.03,123.13,142,2.7,18,gempa micro
44326,-4.08,118.55,26,2.8,40,gempa micro
44327,-8.45,116.98,10,3.4,43,gempa minor
44328,-8.23,116.16,10,4.4,43,gempa ringan
44329,-8.35,116.89,10,2.7,43,gempa micro
44330,-8.51,116.67,25,3.0,43,gempa minor
44331,-8.67,116.24,11,2.6,43,gempa micro
44332,-8.25,116.17,12,2.7,43,gempa micro
44333,-8.41,109.43,24,3.0,15,gempa minor
44334,-8.43,116.55,13,2.9,43,gempa micro
44335,2.01,121.52,10,3.2,7,gempa minor
44336,-8.51,116.78,24,3.0,43,gempa minor
44337,2.83,127.79,80,3.6,26,gempa minor
44338,-8.33,116.88,10,2.8,43,gempa micro
44339,-8.3,116.62,10,2.8,43,gempa micro
44340,-8.08,116.87,12,3.7,43,gempa minor
44341,-2.64,140.7,10,2.4,21,gempa micro
44342,-8.42,116.79,18,3.1,43,gempa minor
44343,-8.39,116.4,10,2.9,43,gempa micro
44344,-8.48,116.87,10,2.0,43,gempa micro
44345,-8.23,116.79,10,3.4,43,gempa minor
44346,-8.23,116.93,31,2.8,43,gempa micro
44347,-8.5,116.93,20,3.4,43,gempa minor
44348,-8.2,118.19,10,3.9,43,semoga bisa
44349,-10.21,124.16,10,3.0,47,gempa minor
44350,-8.36,116.56,34,2.9,43,gempa micro
44351,-8.43,116.0,18,2.3,43,gempa micro
44352,0.52,98.29,17,3.4,27,gempa minor
44353,-8.84,116.84,27,2.6,43,gempa micro
44354,3.75,125.91,69,4.4,45,gempa ringan
44355,-8.38,116.42,10,3.0,43,gempa minor
44356,-8.45,116.61,10,2.9,43,gempa micro
44357,-8.04,108.11,87,4.5,15,gempa ringan
44358,-1.13,120.28,10,3.8,40,gempa minor
44359,-10.11,113.99,10,3.7,35,gempa minor
44360,-8.92,116.08,11,2.8,43,gempa micro
44361,-6.78,103.85,10,3.9,39,semoga bisa
44362,-6.35,103.67,10,3.6,39,gempa minor
44363,-0.21,122.73,10,2.4,18,gempa micro
44364,-7.72,107.39,23,3.3,15,gempa minor
44365,-6.14,103.77,31,3.8,39,gempa minor
44366,-0.64,121.66,10,2.6,18,gempa micro
44367,-8.38,116.85,10,3.1,43,gempa minor
44368,-6.57,103.46,42,5.3,39,gempa sedang
44369,-6.57,103.46,42,5.3,39,gempa sedang
44370,-6.37,103.63,20,4.3,39,gempa ringan
44371,2.6,95.77,10,4.0,28,gempa ringan
44372,-7.75,107.38,15,3.6,15,gempa minor
44373,-8.54,116.96,90,3.7,43,gempa minor
44374,-8.47,116.8,10,3.0,43,gempa minor
44375,2.46,128.46,228,4.3,12,gempa ringan
44376,-2.22,100.91,48,4.1,38,gempa ringan
44377,-8.92,116.85,34,3.1,43,gempa minor
44378,5.35,126.51,143,4.4,19,gempa ringan
44379,-7.99,116.43,13,4.0,3,gempa ringan
44380,-9.22,110.08,10,4.0,35,gempa ringan
44381,-8.43,116.88,10,3.3,43,gempa minor
44382,-8.42,117.06,10,3.1,43,gempa minor
44383,-8.17,116.9,15,3.1,43,gempa minor
44384,-8.4,116.93,10,2.9,43,gempa micro
44385,1.53,126.43,10,3.3,26,gempa minor
44386,-8.42,116.52,13,3.4,43,gempa minor
44387,-8.98,116.86,22,2.6,43,gempa micro
44388,-8.45,116.91,10,3.9,43,semoga bisa
44389,1.07,126.11,10,4.2,26,gempa ringan
44390,-6.98,105.69,60,3.5,44,gempa minor
44391,-8.54,116.03,12,2.9,43,gempa micro
44392,-8.26,116.73,10,3.6,43,gempa minor
44393,-8.24,116.77,10,3.5,43,gempa minor
44394,-8.41,116.64,21,3.0,43,gempa minor
44395,-8.24,116.77,10,4.3,43,gempa ringan
44396,0.01,121.98,161,3.0,18,gempa minor
44397,-7.8,107.31,10,2.8,15,gempa micro
44398,0.8,122.55,19,1.7,18,gempa micro
44399,-8.01,116.82,10,3.2,43,gempa minor
44400,0.6,121.72,64,2.3,18,gempa micro
44401,-8.14,116.79,10,3.2,43,gempa minor
44402,-8.15,116.8,10,3.5,43,gempa minor
44403,0.88,120.41,12,3.1,18,gempa minor
44404,-8.45,116.93,10,3.3,43,gempa minor
44405,-8.5,116.98,10,3.2,43,gempa minor
44406,-8.52,116.96,15,2.4,43,gempa micro
44407,-8.74,116.91,10,1.9,43,gempa micro
44408,-8.58,116.88,10,2.1,43,gempa micro
44409,-8.59,116.93,10,1.9,43,gempa micro
44410,-8.97,116.57,31,2.4,43,gempa micro
44411,-8.48,116.93,10,2.7,43,gempa micro
44412,-8.5,116.96,15,2.5,43,gempa micro
44413,-8.45,116.91,10,2.9,43,gempa micro
44414,-8.39,116.68,14,2.8,43,gempa micro
44415,-8.18,117.04,10,2.5,43,gempa micro
44416,-8.52,116.97,12,2.3,43,gempa micro
44417,-8.33,116.73,10,3.1,43,gempa minor
44418,-8.5,116.85,10,2.5,43,gempa micro
44419,-8.46,116.95,10,3.2,43,gempa minor
44420,-8.46,116.73,13,2.2,43,gempa micro
44421,-8.48,116.95,10,2.2,43,gempa micro
44422,-8.44,116.93,10,3.0,43,gempa minor
44423,-8.48,116.97,10,3.1,43,gempa minor
44424,-8.36,116.61,10,2.4,43,gempa micro
44425,-8.25,116.15,10,2.5,43,gempa micro
44426,-8.45,116.91,10,3.0,43,gempa minor
44427,-8.48,116.88,10,3.0,43,gempa minor
44428,-8.46,116.92,10,3.2,43,gempa minor
44429,-8.12,117.07,10,2.8,43,gempa micro
44430,-8.48,116.95,10,2.4,43,gempa micro
44431,-8.38,116.8,10,2.5,43,gempa micro
44432,-9.15,119.32,43,2.9,42,gempa micro
44433,-8.44,116.92,10,2.8,43,gempa micro
44434,-8.47,116.91,10,3.0,43,gempa minor
44435,-8.44,116.88,10,3.3,43,gempa minor
44436,-8.46,116.95,14,2.6,43,gempa micro
44437,-8.45,116.91,10,3.1,43,gempa minor
44438,-8.44,116.89,10,3.1,43,gempa minor
44439,-8.42,116.92,10,4.1,43,gempa ringan
44440,-8.52,116.86,18,2.8,43,gempa micro
44441,-8.44,116.94,10,2.9,43,gempa micro
44442,-0.02,120.55,16,3.1,18,gempa minor
44443,-8.46,116.94,10,3.0,43,gempa minor
44444,-8.47,116.93,10,3.1,43,gempa minor
44445,-8.48,116.93,10,3.2,43,gempa minor
44446,-8.5,116.96,10,2.9,43,gempa micro
44447,-8.46,116.93,10,2.9,43,gempa micro
44448,-8.46,116.91,10,4.1,43,gempa ringan
44449,-8.48,116.96,10,4.0,43,gempa ringan
44450,-8.43,116.92,10,3.7,43,gempa minor
44451,-2.93,130.66,10,3.0,31,gempa minor
44452,-8.42,116.95,10,3.4,43,gempa minor
44453,0.29,122.04,160,2.9,18,gempa micro
44454,-8.56,116.93,13,5.5,43,gempa sedang
44455,-8.56,116.93,13,5.5,43,gempa sedang
44456,-8.47,116.93,11,3.7,43,gempa minor
44457,-8.42,116.88,13,3.3,43,gempa minor
44458,-8.28,116.88,10,3.2,43,gempa minor
44459,-0.21,122.9,10,2.5,18,gempa micro
44460,-7.7,107.4,23,2.4,15,gempa micro
44461,-8.22,116.67,10,4.6,43,gempa ringan
44462,-8.82,119.03,93,3.2,10,gempa minor
44463,-2.52,128.63,20,3.2,8,gempa minor
44464,-2.9,130.65,10,3.5,31,gempa minor
44465,-8.39,116.96,10,2.7,43,gempa micro
44466,-8.21,116.22,10,2.4,43,gempa micro
44467,-8.23,116.69,11,3.4,43,gempa minor
44468,-8.36,116.71,10,2.9,43,gempa micro
44469,-1.33,120.63,10,4.4,40,gempa ringan
44470,-1.33,120.63,10,4.4,40,gempa ringan
44471,-8.82,116.7,22,2.5,43,gempa micro
44472,-8.39,116.92,10,2.6,43,gempa micro
44473,-8.56,116.1,19,2.7,43,gempa micro
44474,-2.91,128.38,10,2.2,8,gempa micro
44475,-8.38,116.94,10,3.1,43,gempa minor
44476,-8.82,116.57,12,3.1,43,gempa minor
44477,-8.4,116.73,10,2.6,43,gempa micro
44478,1.11,122.9,10,1.8,18,gempa micro
44479,-0.48,120.77,10,2.7,18,gempa micro
44480,-8.99,116.35,19,2.3,43,gempa micro
44481,-9.01,116.74,28,2.5,43,gempa micro
44482,-8.25,116.12,10,1.9,43,gempa micro
44483,-8.41,116.79,10,3.1,43,gempa minor
44484,0.93,120.51,13,2.9,18,gempa micro
44485,-2.92,140.17,10,2.2,21,gempa micro
44486,-8.89,116.88,28,2.5,43,gempa micro
44487,-8.84,116.63,27,2.5,43,gempa micro
44488,-2.95,131.23,105,3.3,14,gempa minor
44489,-0.91,121.83,26,3.1,18,gempa minor
44490,-8.89,109.91,10,3.4,15,gempa minor
44491,-8.36,116.68,10,3.3,43,gempa minor
44492,-8.78,116.18,10,3.1,43,gempa minor
44493,-8.5,116.68,22,3.1,43,gempa minor
44494,-8.54,116.07,15,2.4,43,gempa micro
44495,-5.87,132.6,113,4.6,1,gempa ringan
44496,-8.26,116.65,10,3.2,43,gempa minor
44497,-0.23,124.74,16,3.2,37,gempa minor
44498,2.1,126.68,26,3.5,26,gempa minor
44499,-8.25,116.15,10,3.7,43,gempa minor
44500,-8.84,116.96,19,2.6,43,gempa micro
44501,-2.92,101.7,82,3.9,38,semoga bisa
44502,-7.52,127.49,181,4.8,4,gempa ringan
44503,-10.13,123.48,54,5.0,47,gempa sedang
44504,1.55,122.14,11,2.8,18,gempa micro
44505,-9.37,120.49,26,2.7,42,gempa micro
44506,-8.48,116.88,10,3.4,43,gempa minor
44507,-8.1,116.43,10,3.4,43,gempa minor
44508,-8.05,116.43,10,3.9,43,semoga bisa
44509,-8.32,116.77,23,2.7,43,gempa micro
44510,-8.19,116.51,10,3.1,43,gempa minor
44511,-8.62,116.1,10,2.7,43,gempa micro
44512,-8.49,116.91,11,3.0,43,gempa minor
44513,-9.0,116.76,18,2.8,43,gempa micro
44514,-8.28,116.02,10,3.6,43,gempa minor
44515,-8.8,116.26,10,3.1,43,gempa minor
44516,-8.81,116.24,12,2.7,43,gempa micro
44517,-9.09,116.84,24,2.9,43,gempa micro
44518,-8.97,116.19,10,3.1,43,gempa minor
44519,-8.36,116.6,10,2.9,43,gempa micro
44520,-7.81,107.33,10,2.6,15,gempa micro
44521,-9.01,116.73,21,2.6,43,gempa micro
44522,-8.61,116.63,27,2.6,43,gempa micro
44523,-5.62,131.07,90,3.8,4,gempa minor
44524,-7.62,127.92,29,4.6,4,gempa ringan
44525,-3.31,102.12,106,4.7,38,gempa ringan
44526,-3.06,136.92,58,5.0,13,gempa sedang
44527,-3.06,136.92,58,5.0,13,gempa sedang
44528,-1.25,123.58,32,3.6,40,gempa minor
44529,-8.8,116.85,34,2.1,43,gempa micro
44530,-8.84,116.51,11,3.0,43,gempa minor
44531,-8.31,116.63,10,3.3,43,gempa minor
44532,-7.23,128.99,178,4.8,4,gempa ringan
44533,-10.05,118.8,10,3.5,36,gempa minor
44534,1.05,121.3,13,2.9,18,gempa micro
44535,-5.76,128.83,308,4.0,4,gempa ringan
44536,2.56,96.57,37,3.0,27,gempa minor
44537,-8.48,116.78,13,2.8,43,gempa micro
44538,-9.95,118.8,10,3.5,43,gempa minor
44539,-10.04,118.86,10,2.9,36,gempa micro
44540,-6.16,103.04,11,4.1,39,gempa ringan
44541,-10.03,118.81,10,3.8,36,gempa minor
44542,-8.4,116.88,10,2.7,43,gempa micro
44543,-8.44,116.97,10,2.9,43,gempa micro
44544,-2.43,128.74,10,2.9,8,gempa micro
44545,-8.46,116.88,19,2.8,43,gempa micro
44546,-2.51,140.44,10,4.2,21,gempa ringan
44547,-8.48,116.89,13,2.8,43,gempa micro
44548,-8.46,116.9,10,3.8,43,gempa minor
44549,-8.45,116.92,10,3.7,43,gempa minor
44550,0.22,122.02,155,3.4,18,gempa minor
44551,-8.52,116.54,12,2.8,43,gempa micro
44552,-8.96,116.04,14,3.3,43,gempa minor
44553,-8.41,116.92,10,3.7,43,gempa minor
44554,-8.35,116.9,12,3.9,43,semoga bisa
44555,-1.03,131.62,93,2.7,14,gempa micro
44556,-8.4,116.61,10,3.1,43,gempa minor
44557,-8.5,116.95,10,4.1,43,gempa ringan
44558,-8.36,116.96,10,3.2,43,gempa minor
44559,-8.6,116.89,28,2.2,43,gempa micro
44560,-8.45,116.95,12,3.0,43,gempa minor
44561,-9.03,118.07,76,3.5,43,gempa minor
44562,-8.94,123.9,15,3.3,10,gempa minor
44563,-8.36,116.94,10,5.1,43,gempa sedang
44564,-8.36,116.94,10,5.1,43,gempa sedang
44565,-8.5,116.94,10,4.7,43,gempa ringan
44566,-2.67,127.04,11,2.6,8,gempa micro
44567,-9.0,116.85,12,3.1,43,gempa minor
44568,-8.78,116.6,30,2.9,43,gempa micro
44569,-8.29,116.47,10,3.0,43,gempa minor
44570,-0.06,123.24,158,3.0,18,gempa minor
44571,-3.24,140.77,10,4.4,13,gempa ringan
44572,-8.37,116.78,10,3.3,43,gempa minor
44573,-8.43,116.92,10,2.5,43,gempa micro
44574,-8.45,116.97,10,2.2,43,gempa micro
44575,-8.41,116.9,15,2.9,43,gempa micro
44576,-8.34,116.92,10,3.5,43,gempa minor
44577,-8.42,116.91,10,3.2,43,gempa minor
44578,-8.4,116.82,10,3.6,43,gempa minor
44579,-8.42,116.92,10,3.7,43,gempa minor
44580,-8.48,116.88,10,2.7,43,gempa micro
44581,-8.54,116.6,10,2.8,43,gempa micro
44582,-10.91,124.17,18,3.6,47,gempa minor
44583,2.64,127.07,10,4.2,26,gempa ringan
44584,-8.06,107.36,16,3.0,15,gempa minor
44585,-8.32,116.61,10,2.6,43,gempa micro
44586,-8.54,116.16,16,2.5,43,gempa micro
44587,-8.46,116.92,10,2.5,43,gempa micro
44588,-8.54,116.51,19,3.1,43,gempa minor
44589,-8.47,116.73,10,3.5,43,gempa minor
44590,-8.38,116.93,10,2.6,43,gempa micro
44591,-8.35,116.55,12,3.1,43,gempa minor
44592,-8.37,116.88,14,2.9,43,gempa micro
44593,-8.25,116.62,10,4.1,43,gempa ringan
44594,-9.21,118.7,81,4.4,43,gempa ringan
44595,-4.86,134.13,38,4.7,14,gempa ringan
44596,-8.44,107.16,12,3.3,15,gempa minor
44597,-8.53,116.96,18,3.5,43,gempa minor
44598,-8.99,124.19,106,3.9,47,semoga bisa
44599,-8.53,116.91,20,2.7,43,gempa micro
44600,-8.53,116.92,19,2.8,43,gempa micro
44601,4.47,124.91,34,3.9,7,semoga bisa
44602,-8.47,116.96,12,2.6,43,gempa micro
44603,-8.31,116.06,15,2.8,43,gempa micro
44604,-8.9,116.87,23,2.6,43,gempa micro
44605,3.82,127.46,175,3.7,45,gempa minor
44606,-8.35,116.77,27,3.0,43,gempa minor
44607,0.85,125.83,11,3.9,26,semoga bisa
44608,-8.32,116.91,10,3.4,43,gempa minor
44609,-8.08,116.49,10,2.9,43,gempa micro
44610,-8.15,116.93,10,3.2,43,gempa minor
44611,-8.59,116.09,29,3.2,43,gempa minor
44612,-8.47,116.79,25,2.9,43,gempa micro
44613,-6.86,106.49,10,2.8,15,gempa micro
44614,-8.29,116.93,10,2.7,43,gempa micro
44615,-6.44,103.67,29,3.9,39,semoga bisa
44616,-8.32,116.89,10,2.7,43,gempa micro
44617,1.8,126.79,10,3.3,26,gempa minor
44618,-8.08,116.0,19,2.2,2,gempa micro
44619,-8.3,116.78,10,3.0,43,gempa minor
44620,-8.24,116.24,10,2.2,43,gempa micro
44621,-3.34,127.31,72,3.2,31,gempa minor
44622,0.2,97.64,10,2.6,27,gempa micro
44623,-8.4,116.71,10,3.1,43,gempa minor
44624,-8.39,116.73,10,3.0,43,gempa minor
44625,-8.32,116.94,10,3.0,43,gempa minor
44626,-8.54,116.97,16,2.9,43,gempa micro
44627,-8.29,116.19,16,2.1,43,gempa micro
44628,-8.59,116.9,26,2.8,43,gempa micro
44629,-8.55,116.9,10,2.9,43,gempa micro
44630,-8.57,116.89,28,2.9,43,gempa micro
44631,-8.3,116.85,10,2.8,43,gempa micro
44632,-8.48,116.94,10,3.3,43,gempa minor
44633,-8.5,116.9,10,3.5,43,gempa minor
44634,0.47,119.49,10,3.8,18,gempa minor
44635,-8.45,116.89,10,3.8,43,gempa minor
44636,-8.82,108.15,13,3.4,15,gempa minor
44637,-0.06,122.74,127,2.3,18,gempa micro
44638,-7.11,129.19,211,4.3,4,gempa ringan
44639,-10.91,124.21,10,3.5,47,gempa minor
44640,-8.22,116.78,10,3.2,43,gempa minor
44641,-8.25,116.74,10,3.3,43,gempa minor
44642,-8.1,116.28,11,3.1,43,gempa minor
44643,-10.97,124.09,10,3.3,47,gempa minor
44644,-10.88,124.17,10,2.8,47,gempa micro
44645,-10.9,124.2,13,4.2,47,gempa ringan
44646,-8.12,116.29,10,4.0,43,gempa ringan
44647,-8.92,110.24,44,5.2,15,gempa sedang
44648,-8.92,110.24,44,5.2,15,gempa sedang
44649,-10.84,124.24,12,3.2,47,gempa minor
44650,-8.4,116.79,13,2.9,43,gempa micro
44651,-10.65,123.89,10,3.0,47,gempa minor
44652,2.07,129.02,10,3.7,12,gempa minor
44653,-9.28,121.26,156,3.4,30,gempa minor
44654,-9.82,123.7,10,2.9,47,gempa micro
44655,1.51,127.24,118,3.5,12,gempa minor
44656,-10.6,124.15,10,3.2,47,gempa minor
44657,-8.47,116.84,11,2.8,43,gempa micro
44658,-8.41,116.95,10,2.9,43,gempa micro
44659,5.28,126.29,139,4.6,19,gempa ringan
44660,-8.42,116.66,10,2.9,43,gempa micro
44661,-8.22,116.35,12,3.3,43,gempa minor
44662,-8.17,116.39,10,3.1,43,gempa minor
44663,-10.8,124.23,27,4.5,47,gempa ringan
44664,-8.54,116.0,11,3.0,43,gempa minor
44665,-10.82,124.14,10,5.0,47,gempa sedang
44666,-10.82,124.14,10,5.0,47,gempa sedang
44667,-10.1,124.61,10,2.9,47,gempa micro
44668,1.04,126.19,10,3.4,26,gempa minor
44669,-10.88,124.24,10,4.1,47,gempa ringan
44670,-10.94,123.97,10,3.7,47,gempa minor
44671,-10.98,124.06,10,3.3,47,gempa minor
44672,-8.3,116.63,12,2.9,43,gempa micro
44673,1.21,126.28,55,3.6,26,gempa minor
44674,0.92,126.23,55,3.6,26,gempa minor
44675,-10.88,124.13,10,4.2,47,gempa ringan
44676,-10.83,124.2,10,4.2,47,gempa ringan
44677,-10.85,124.24,10,4.6,47,gempa ringan
44678,-10.85,124.21,10,4.6,47,gempa ringan
44679,-10.96,124.24,10,3.3,47,gempa minor
44680,-10.92,124.09,11,3.6,47,gempa minor
44681,-10.97,123.98,10,3.4,47,gempa minor
44682,-10.88,124.12,10,4.3,47,gempa ringan
