Nama daerah,jumlah populasi 2019
Java - Indonesia,49.023.200
Northern Sumatra - Indonesia,14562549
Southern Sumatra - Indonesia,8497196
Celebes Sea,8873509
South of Java - Indonesia,39698631
Southwest of Sumatra - Indonesia,5480000
Minahassa Peninsula - Sulawesi,250698
Talaud Islands - Indonesia,109150
Northern Molucca Sea,1255771
Halmahera - Indonesia,40127
Bali Sea,4360000
Buru - Indonesia,136.118
Sumbawa Region - Indonesia,457.671
Ceram Sea,137972
Sulawesi - Indonesia,19.560.000
Southern Molucca Sea,1255771
South China Sea,0
Borneo,21258000
Near North Coast of Irian Jaya,4300000
Flores Sea,257785
Java Sea,150.400.000
Sunda Strait - Indonesia,6.900.000
Mindanao - Philippines,21968174
Philippine Islands Region,106.512.074
Irian Jaya Region - Indonesia,3.379.302
East of Philippine Islands,107.288.150
Aru Islands Region - Indonesia,30020
Off West Coast of Northern Sumatra,14.562.549
Tanimbar Islands Reg. - Indonesia,120000
Timor Sea,1293000
Flores Region - Indonesia',240.916
Irian Jaya - Indonesia,3379302
North of Halmahera - Indonesia,193 851
South of Sumbawa - Indonesia,1561461
Timor Region,3118888
South of Bali - Indonesia,4360000
Bali Region - Indonesia,4360000
Near N. Coast of New Guinea - PNG.,8.776.000
W. Caroline Islands - Micronesia,36 000
Savu Sea,5456203
South Indian Ocean,143155
Arafura Sea,3379302
New Guinea - Papua New Guinea,8776000
Near South Coast of Irian Jaya,963600
Sumba Region - Indonesia,685186
Seram - Indonesia,137972
