Nama daerah,jumlah populasi 2021
Java - Indonesia,48782408
Northern Sumatra - Indonesia,14936148
Southern Sumatra - Indonesia,8550849
Celebes Sea,9139531
South of Java - Indonesia,40878789
Southwest of Sumatra - Indonesia,5600000
Minahassa Peninsula - Sulawesi,396110
Talaud Islands - Indonesia,106151
Northern Molucca Sea,1299177
Halmahera - Indonesia,43627
Bali Sea,4270000
Buru - Indonesia,136118
Sumbawa Region - Indonesia,509753
Ceram Sea,137972
Sulawesi - Indonesia,18663199
Southern Molucca Sea,1299177
South China Sea,82983
Borneo,21258000
Near North Coast of Irian Jaya,4300000
Flores Sea,257785
Java Sea,152320000
Sunda Strait - Indonesia,6900000
Mindanao - Philippines,21968174
Philippine Islands Region,105893381
Irian Jaya Region - Indonesia,4300000
East of Philippine Islands,109035343
Aru Islands Region - Indonesia,102920
Off West Coast of Northern Sumatra,14936148
Tanimbar Islands Reg. - Indonesia,124075
Timor Sea,1344000
Flores Region - Indonesia',283626
Irian Jaya - Indonesia,4300000
North of Halmahera - Indonesia,199936
South of Sumbawa - Indonesia,1561461
Timor Region,3311735
South of Bali - Indonesia,4362700
Bali Region - Indonesia,4362700
Near N. Coast of New Guinea - PNG.,9119000
W. Caroline Islands - Micronesia,36000
Savu Sea,5387738
South Indian Ocean,143155
Arafura Sea,4300000
New Guinea - Papua New Guinea,9119000
Near South Coast of Irian Jaya,1150000
Sumba Region - Indonesia,685186
Seram - Indonesia,137972
